"nome","marca","referencia","categoria","subcategoria","genero","faixa_etaria","tipo_produto","preco","preco_pix","tamanhos_disponiveis","cores_disponiveis","descricao","link","imagem_url","em_estoque","em_liquidacao"
"Sandália Molekinho 2135.653 Rústico Neo","Molekinho","2368571-15745BMPRETO01","Baby Menino","Sandálias","Unissex Baby","Baby","Sandália","89.90","85.41","17 | 18 | 19 | 20 | 21 | 22 | 23 | 24 | 25 | 26","15745BM PRETO 01","Detalhe visual marcante As tiras em napa preta com costuras aparentes criam um visual marcante e atual. O acabamento tem leve brilho e reforços sutis que valorizam o modelo mesmo nas cores neutras. Ajuste fácil e seguro O fecho em velcro na lateral facilita na hora de vestir, sem complicações. A tira traseira mantém o calcanhar bem firme, dando mais segurança para os primeiros passos. Confort o desde o primeiro uso A palmilha é acolchoada e forrada para conforto imediato, e a sola levemente t...","https://www.chinelarialeilaneneves.com.br/sandalia-molekinho-2135-653-rustico-neo-15745bm-preto-01","https://chinelarialeilaneneves.cdn.magazord.com.br/img/2025/04/produto/6573/01-sandalia-molekinho-2135-653-rustico-neo.png?ims=290x290","true","false"
"Sandália Molekinho 2135.662 Rústico Neo","Molekinho","2282665-2135.662PRETO","Baby Menino","Sandálias","Unissex Baby","Baby","Sandália","69.90","66.41","17 | 18 | 19 | 20 | 21 | 22 | 23 | 24 | 25 | 26","2135.662 MARINHO | 2135.662 PRETO","Detalhe visual marcante O destaque fica por conta do aplique de controle de videogame próximo ao velcro, que confere um toque lúdico e moderno ao calçado. As tiras em material sintético preto com costuras aparentes complementam o visual descolado. Estrutura de suporte O fechamento em velcro facilita o calce e permite um ajuste seguro aos pés dos pequenos. A tira traseira proporciona estabilidade adicional durante o uso, ideal para acompanhar as aventuras do dia a dia. Conforto A palmilha anat...","https://www.chinelarialeilaneneves.com.br/sandalia-molekinho-2135-662-rustico-neo-2135-662-preto","https://chinelarialeilaneneves.cdn.magazord.com.br/img/2025/04/produto/6581/03-sandalia-molekinho-2135-662-rustico-neo.png?ims=290x290","true","false"
"Sandália Molekinho 2135.662 Rústico Neo","Molekinho","2282665-2135.662MARINHO","Baby Menino","Sandálias","Unissex Baby","Baby","Sandália","69.90","66.41","17 | 18 | 19 | 20 | 21 | 22 | 23 | 24 | 25 | 26","2135.662 MARINHO | 2135.662 PRETO","Detalhe visual marcante O destaque fica por conta do aplique de controle de videogame próximo ao velcro, que confere um toque lúdico e moderno ao calçado. As tiras em material sintético preto com costuras aparentes complementam o visual descolado. Estrutura de suporte O fechamento em velcro facilita o calce e permite um ajuste seguro aos pés dos pequenos. A tira traseira proporciona estabilidade adicional durante o uso, ideal para acompanhar as aventuras do dia a dia. Conforto A palmilha anat...","https://www.chinelarialeilaneneves.com.br/sandalia-molekinho-2135-662-rustico-neo-2135-662-marinho","https://chinelarialeilaneneves.cdn.magazord.com.br/img/2025/04/produto/6579/01-sandalia-molekinho-2135-662-rustico-neo.png?ims=290x290","true","false"
"Sandália Molekinho 2135.763 Rústico Neo","Molekinho","2368564-36786BMMARINHO488BRANC","Baby Menino","Sandálias","Unissex Baby","Baby","Sandália","79.90","75.91","17 | 18 | 19 | 20 | 21 | 22 | 23 | 24 | 25 | 26","36786BM MARINHO 488/BRANC","Detalhe Visual Marcante O design moderno da sandália é realçado pelas tiras ajustáveis que proporcionam um ajuste seguro e confortável. Seu estilo casual e descolado combina com diversas ocasiões, tornando-a uma escolha versátil para os meninos. Estrutura de Suporte Equipada com fecho em velcro e elástico, a sandália permite um ajuste fácil e rápido, garantindo que os pequenos possam calçar e descalçar sem dificuldades. A sola flexível oferece suporte adequado para os pés em crescimento. Conf...","https://www.chinelarialeilaneneves.com.br/sandalia-molekinho-2135-763-rustico-neo-36786bm-marinho-488-branc","https://chinelarialeilaneneves.cdn.magazord.com.br/img/2025/04/produto/6568/01-sandalia-molekinho-2135-763-rustico-neo.png?ims=290x290","true","false"
"Sandália Molekinho 2951-156 Tiras Velcro Vermont RN","Molekinho","2369439-0526BRANCOOFF","Baby Menino","RN Recém-nascido","Unissex Baby","Baby","Sandália","69.90","66.41","03 | 04 | 05 | 06","0526 BRANCO/OFF","Conforto ao bebê Desenvolvida especialmente para recém-nascidos e bebês nos primeiros meses, essa sandália possui modelagem anatômica e leve, permitindo que o pezinho se mova com liberdade. As tiras frontais protegem sem apertar, e o fechamento com velcro proporciona ajuste firme e delicado. Fecho prático e seguro O velcro lateral facilita o momento de calçar e tirar, sem complicações. Além disso, ajuda a manter o calçado ajustado mesmo com os movimentos naturais do bebê, garantindo mais firm...","https://www.chinelarialeilaneneves.com.br/sandalia-molekinho-2951-156-vermont-rn-0526-branco-off","https://chinelarialeilaneneves.cdn.magazord.com.br/img/2025/06/produto/8746/01-sandalia-molekinho-2951-156-tiras-velcro-vermont-rn.png?ims=290x290","true","false"
"Sandália Papete Baby Grendene Kids 22710 Patrulha Canina","Grendene Kids","2546318-bu275pretovermelho","Baby Menino","Sandálias","Unissex Baby","Baby","Sandália","59.99","56.99","17/18 | 19 | 20/21 | 22 | 23/24 | 25 | 26/27","bu275 preto/vermelho | bw316 castor/azul","Conforto Produzida em material leve e macio, essa papete oferece conforto ideal para os pezinhos em desenvolvimento. A palmilha anatômica ajuda na absorção de impactos e garante bem-estar durante o uso, ideal para os primeiros passos e para o dia a dia. Versatilidade Indicada para passeios, creche, momentos de lazer e uso diário, a Sandália Papete Baby Grendene Kids é fácil de calçar e se ajusta bem aos pés. A tira traseira com fechamento prático proporciona firmeza e segurança, permitindo qu...","https://www.chinelarialeilaneneves.com.br/sandalia-papete-grendene-kids-22710-patrulha-bu275-preto-vermelho","https://chinelarialeilaneneves.cdn.magazord.com.br/img/2026/02/produto/14305/01-sandalia-papete-baby-grendene-kids-22710-patrulha-canina-sandalia-papete-grendene-kids-22710-patrulha-bu275-preto-vermelho-26-27.png?ims=290x290","true","false"
"Sandália Papete Baby Grendene Kids 22710 Patrulha Canina","Grendene Kids","2546318-bw316castorazul","Baby Menino","Sandálias","Unissex Baby","Baby","Sandália","59.99","56.99","17/18 | 19 | 20/21 | 22 | 23/24 | 25 | 26/27","bu275 preto/vermelho | bw316 castor/azul","Conforto Produzida em material leve e macio, essa papete oferece conforto ideal para os pezinhos em desenvolvimento. A palmilha anatômica ajuda na absorção de impactos e garante bem-estar durante o uso, ideal para os primeiros passos e para o dia a dia. Versatilidade Indicada para passeios, creche, momentos de lazer e uso diário, a Sandália Papete Baby Grendene Kids é fácil de calçar e se ajusta bem aos pés. A tira traseira com fechamento prático proporciona firmeza e segurança, permitindo qu...","https://www.chinelarialeilaneneves.com.br/sandalia-papete-grendene-kids-22710-patrulha-bw316-castor-azul","https://chinelarialeilaneneves.cdn.magazord.com.br/img/2025/12/produto/12454/01-sandalia-papete-baby-grendene-kids-22710-patrulha-canina.png?ims=290x290","true","false"
"Sandália Papete Cartago 12418 Milão ll","Cartago","2547915-bl531begemarrom","Baby Menino","Sandálias","Unissex Baby","Baby","Sandália","69.99","66.49","17/18 | 19 | 20/21 | 22 | 23/24 | 25 | 26/27","12418 bege claro | bl531 bege/marrom","Conforto A palmilha macia proporciona uma pisada confortável, auxiliando no uso prolongado sem causar incômodos. O formato anatômico ajuda a acomodar os pés com mais estabilidade, tornando a papete ideal para a rotina das crianças. Ajuste Seguro e Prático O modelo conta com tiras ajustáveis com fivelas, permitindo melhor adaptação ao pé da criança. Esse sistema oferece firmeza ao caminhar e facilita o calce, trazendo mais autonomia e segurança durante o uso. Solado Estável e Antiderrapante O ...","https://www.chinelarialeilaneneves.com.br/sandalia-papete-cartago-12418-milao-ii-bl531-bege-marrom","https://chinelarialeilaneneves.cdn.magazord.com.br/img/2026/01/produto/12816/05-sandalia-papete-cartago-12418-milao-ll.png?ims=290x290","true","false"
"Sandália Papete Cartago 12418 Milão ll","Cartago","2547915-12418begeclaro","Baby Menino","Sandálias","Unissex Baby","Baby","Sandália","69.99","66.49","17/18 | 19 | 20/21 | 22 | 23/24 | 25 | 26/27","12418 bege claro | bl531 bege/marrom","Conforto A palmilha macia proporciona uma pisada confortável, auxiliando no uso prolongado sem causar incômodos. O formato anatômico ajuda a acomodar os pés com mais estabilidade, tornando a papete ideal para a rotina das crianças. Ajuste Seguro e Prático O modelo conta com tiras ajustáveis com fivelas, permitindo melhor adaptação ao pé da criança. Esse sistema oferece firmeza ao caminhar e facilita o calce, trazendo mais autonomia e segurança durante o uso. Solado Estável e Antiderrapante O ...","https://www.chinelarialeilaneneves.com.br/sandalia-papete-cartago-12418-milao-ii-12418-bege-claro","https://chinelarialeilaneneves.cdn.magazord.com.br/img/2026/01/produto/12812/01-sandalia-papete-cartago-12418-milao-ll.png?ims=290x290","true","false"
"Sandália Papete Cartago Mini 11713 Milão Baby","Cartago","2383205-AJ344BEGEMARROM","Baby Menino","Sandálias","Unissex Baby","Baby","Sandália","69.90","66.41","17/18 | 19 | 20/21 | 22 | 23/24 | 25 | 26/27","AJ344 BEGE/MARROM","Conforto ideal A palmilha macia e o interior acolchoado garantem bem-estar ao longo do uso, evitando incômodos mesmo durante longos períodos com o calçado. Ajuste firme As tiras com fivelas reguláveis proporcionam ajuste seguro e personalizado, permitindo que a papete acompanhe o crescimento dos pés sem apertar. Estabilidade e Segurança O solado com base larga e leve ranhura antiderrapante oferece estabilidade para os primeiros passos, trazendo mais confiança ao caminhar. Perguntas Frequentes...","https://www.chinelarialeilaneneves.com.br/sandalia-papete-cartago-11713-milao-baby-aj344-bege-marrom","https://chinelarialeilaneneves.cdn.magazord.com.br/img/2025/05/produto/8097/01-sandalia-papete-cartago-mini-11713-milao-baby.png?ims=290x290","true","false"
"Sandália Papete Grendene  23299 Hotwheels Speed","Grendene Kids","2399892-bq540pretobranco","Baby Menino","Sandálias","Unissex Baby","Baby","Sandália","59.99","56.99","17/18 | 19 | 20/21 | 22 | 23/24 | 25","bq540 preto/branco","Conforto A Papete Grendene 23299 Hot Wheels Speed foi criada para oferecer conforto total durante as aventuras do dia a dia. Com palmilha macia e solado flexível, ela proporciona uma pisada segura e agradável. É ideal para acompanhar os meninos em longos períodos de uso, seja na escola, nos passeios ou nas brincadeiras. Versatilidade Essa papete combina estilo e funcionalidade, sendo perfeita para diversas ocasiões. Pode ser usada com bermudas, jeans ou roupas mais esportivas, adaptando-se be...","https://www.chinelarialeilaneneves.com.br/sandalia-papete-grendene-kids-23299-hotwheels-spee-bq540-preto-branco","https://chinelarialeilaneneves.cdn.magazord.com.br/img/2025/07/produto/10007/01-sandalia-papete-grendene-kids-23299-hotwheels-spee.png?ims=290x290","true","false"
"Sandália Papete Grendene Kids 23160 Disney Mickey Mouse","Grendene Kids","2351263-BF394CINZACINZA","Baby Menino","Sandálias","Unissex Baby","Baby","Sandália","79.99","75.99","17/18 | 19 | 20/21 | 22 | 23/24 | 25 | 26/27","BF394CINZA/CINZA","Conforto em Cada Passo Produzida com materiais macios e estrutura anatômica, essa papete oferece ótimo encaixe nos pés, com fechamento por tiras de velcro que garantem ajuste rápido e seguro. Design Divertido do Mickey Com visual colorido e aplicação do personagem Mickey Mouse, ela chama a atenção pelo estilo alegre que agrada crianças e pais. Um toque lúdico que transforma o visual com o charme da Disney. Durável e Fácil de Cuidar Feita em PVC de alta qualidade, é uma sandália resistente, id...","https://www.chinelarialeilaneneves.com.br/sandalia-grendene-kids-23160-easy-baby-m-bf394cinza-cinza","https://chinelarialeilaneneves.cdn.magazord.com.br/img/2025/04/produto/3321/01-sandalia-papete-grendene-kids-23160-disney-mickey-mouse.png?ims=290x290","true","false"
"Sandália Papete Molekinho 573 Floter Rústico Neo","Molekinho","2368553-488AZULMARINHO","Baby Menino","Sandálias","Unissex Baby","Baby","Sandália","69.90","66.41","17 | 18 | 19 | 20 | 21 | 22 | 23 | 24 | 25 | 26","488 AZUL/MARINHO","Visual robusto e atual O modelo traz tiras em floter rústico azul escuro, com acabamento fosco e texturizado que valoriza o visual. O design firme e moderno é ideal para acompanhar os pequenos em todas as aventuras. Fechamento prático e seguro A papete possui fecho em velcro, facilitando o ajuste no pé e garantindo firmeza a cada passo, ideal para a autonomia da criança no dia a dia. Conforto no caminhar A sola acolchoada e levemente estruturada oferece o suporte necessário para o conforto do...","https://www.chinelarialeilaneneves.com.br/sandalia-papete-molekinho-573-floter-rustico-neo-488-azul-marinho","https://chinelarialeilaneneves.cdn.magazord.com.br/img/2025/04/produto/6487/01-sandalia-papete-molekinho-573-floter-rustico-neo.png?ims=290x290","true","false"
"Sandália Papete Rider 12149 Line Plus Velcro","Rider","2383746-AX857GRAFITEPRETO","Baby Menino","Sandálias","Unissex Baby","Baby","Sandália","69.99","66.49","17/18 | 19 | 20/21 | 22 | 23/24 | 25 | 26/27","AX857 GRAFITE/PRETO","Fechamento prático O modelo traz duas tiras superiores com velcro que facilitam o calce e permitem ajuste ideal aos pés da criança, além de uma tira traseira que mantém o calçado firme durante o uso. Solado leve O design da sola proporciona passos mais suaves, com leve amortecimento e flexibilidade, acompanhando os movimentos naturais dos pés. Ideal para o uso contínuo sem desconforto. Estilo esportivo Com visual moderno e cor preta neutra, a papete combina com diferentes peças do guarda-roup...","https://www.chinelarialeilaneneves.com.br/sandalia-papete-rider-12149-r-line-plus-ax857-grafite-preto","https://chinelarialeilaneneves.cdn.magazord.com.br/img/2025/05/produto/8301/01-sandalia-papete-rider-12149-line-plus-velcro.png?ims=290x290","true","false"
"Sapatenis Kids Casual Mimoflex 010.012","Mimoflex","2400130-017marfimcaramelo","Baby Menino","Sapatenis","Unissex Baby","Baby","Tênis","74.99","71.24","20 | 21 | 22 | 23 | 24 | 25 | 26","017 marfim/caramelo | 040 marinho/grafite","Conforto O Sapatênis Kids Mimoflex 010.012 foi desenvolvido para garantir o máximo de conforto ao longo do dia. Seu interior é acolchoado e possui palmilha macia que oferece excelente absorção de impacto. Ideal para acompanhar o ritmo ativo dos meninos, seja na escola ou nas brincadeiras. Versatilidade Esse sapatênis é uma ótima escolha para diversas ocasiões, pois combina estilo e praticidade. Pode ser usado tanto com roupas mais arrumadas quanto com looks casuais, sem perder o charme. Um ca...","https://www.chinelarialeilaneneves.com.br/sapatenis-kids-casual-mimo-flex-010-012-017-marfim-caramelo","https://chinelarialeilaneneves.cdn.magazord.com.br/img/2025/07/produto/10065/05-sapateais-kids-casual-mimoflex-010-012.png?ims=290x290","true","false"
"Sapatenis Kids Casual Mimoflex 010.012","Mimoflex","2400130-040marinhografite","Baby Menino","Sapatenis","Unissex Baby","Baby","Tênis","74.99","71.24","20 | 21 | 22 | 23 | 24 | 25 | 26","017 marfim/caramelo | 040 marinho/grafite","Conforto O Sapatênis Kids Mimoflex 010.012 foi desenvolvido para garantir o máximo de conforto ao longo do dia. Seu interior é acolchoado e possui palmilha macia que oferece excelente absorção de impacto. Ideal para acompanhar o ritmo ativo dos meninos, seja na escola ou nas brincadeiras. Versatilidade Esse sapatênis é uma ótima escolha para diversas ocasiões, pois combina estilo e praticidade. Pode ser usado tanto com roupas mais arrumadas quanto com looks casuais, sem perder o charme. Um ca...","https://www.chinelarialeilaneneves.com.br/sapatenis-kids-casual-mimo-flex-010-012-040-marinho-grafite","https://chinelarialeilaneneves.cdn.magazord.com.br/img/2025/07/produto/10061/01-sapateais-kids-casual-mimoflex-010-012.png?ims=290x290","true","false"
"Sapatênis Baby Molekinho 2651.103 Boston","Molekinho","2557529-101057pretoverdeoliva","Baby Menino","Sapatenis","Unissex Baby","Baby","Tênis","129.90","123.41","17 | 18 | 19 | 20 | 21 | 22 | 23 | 24 | 25 | 26","101057 preto/verde oliva","Conforto, segurança e praticidade para acompanhar os primeiros passos","https://www.chinelarialeilaneneves.com.br/sapatenis-baby-molekinho-2651-103-boston-preto-verde-oliva","https://chinelarialeilaneneves.cdn.magazord.com.br/img/2026/01/produto/13291/01-sapatenis-baby-molekinho-2651-103-boston-sapatenis-molekinho-2651-103-boston-101057-preto-verde-oliva-17.png?ims=290x290","true","false"
"Sapatênis Kids Casual Mimoflex 010.013","Mimoflex","2400129-055caramelobranco","Baby Menino","Sapatenis","Unissex Baby","Baby","Tênis","74.99","71.24","20 | 21 | 22 | 23 | 24 | 25 | 26","054 preto/branco | 055 caramelo/branco","Conforto O Sapatênis Kids Mimoflex foi desenvolvido para garantir o máximo de conforto ao longo do dia. Seu interior é acolchoado e possui palmilha macia que oferece excelente absorção de impacto. Ideal para acompanhar o ritmo ativo dos meninos, seja na escola ou nas brincadeiras. Versatil Esse sapatênis é uma ótima escolha para diversas ocasiões, pois combina estilo e praticidade. Pode ser usado tanto com roupas mais arrumadas quanto com looks casuais, sem perder o charme. Um calçado curinga...","https://www.chinelarialeilaneneves.com.br/sapatenis-kids-casual-mimo-flex-010-013-055-caramelo-branco","https://chinelarialeilaneneves.cdn.magazord.com.br/img/2025/07/produto/10085/05-sapatenis-kids-casual-mimoflex-010-013.png?ims=290x290","true","false"
"Sapatênis Kids Casual Mimoflex 010.013","Mimoflex","2400129-054pretobranco","Baby Menino","Sapatenis","Unissex Baby","Baby","Tênis","74.99","71.24","20 | 21 | 22 | 23 | 24 | 25 | 26","054 preto/branco | 055 caramelo/branco","Conforto O Sapatênis Kids Mimoflex foi desenvolvido para garantir o máximo de conforto ao longo do dia. Seu interior é acolchoado e possui palmilha macia que oferece excelente absorção de impacto. Ideal para acompanhar o ritmo ativo dos meninos, seja na escola ou nas brincadeiras. Versatil Esse sapatênis é uma ótima escolha para diversas ocasiões, pois combina estilo e praticidade. Pode ser usado tanto com roupas mais arrumadas quanto com looks casuais, sem perder o charme. Um calçado curinga...","https://www.chinelarialeilaneneves.com.br/sapatenis-kids-casual-mimo-flex-010-013-054-preto-branco","https://chinelarialeilaneneves.cdn.magazord.com.br/img/2025/07/produto/10081/01-sapatenis-kids-casual-mimoflex-010-013.png?ims=290x290","true","false"
"Sapatênis Klin 117.171 Flyer Mini Velcro","Klin","2383882-9426LINHO","Baby Menino","Sapatenis","Unissex Baby","Baby","Tênis","159.90","151.91","20 | 21 | 22 | 23 | 24 | 25 | 26 | 27","9426 LINHO","Ajuste prático O modelo possui dois fechos em velcro que facilitam o calce e proporcionam um ajuste seguro, ideal para o dia a dia corrido e para crianças que ainda estão aprendendo a calçar os próprios sapatos. Conforto A estrutura interna macia acolhe os pés com suavidade, enquanto o formato anatômico favorece o desenvolvimento saudável, oferecendo estabilidade durante os primeiros passos e brincadeiras. Visual casual Com acabamento moderno em tom azul claro e solado claro que combina com t...","https://www.chinelarialeilaneneves.com.br/sapatenis-klin-117-171-flyer-mini-9426-linho","https://chinelarialeilaneneves.cdn.magazord.com.br/img/2025/09/produto/11691/03-sapatenis-klin-117-171-flyer-mini-velcro.png?ims=290x290","true","false"
"Sapatênis Klin 1661.700 Flyer Velcro Baby","Klin","2383894-5517AREIA","Baby Menino","Sapatenis","Unissex Baby","Baby","Tênis","139.90","132.91","15 | 16 | 17 | 18 | 19 | 20 | 21 | 22 | 23 | 24 | 25 | 26 | 27","5517 AREIA","Fechamento prático O modelo conta com tira de velcro larga e macia, facilitando o calce rápido e o ajuste firme, sem apertar. Perfeito para a rotina corrida com bebês e crianças pequenas. Estrutura leve Com solado flexível e base levemente elevada, o sapatênis oferece estabilidade sem pesar nos pés, incentivando o caminhar natural e seguro desde os primeiros passos. Visual moderno O acabamento liso e o design minimalista tornam o modelo fácil de combinar com diversas roupas infantis, enquanto...","https://www.chinelarialeilaneneves.com.br/sapatenis-klin-1661-700-flyer-baby-5517-areia","https://chinelarialeilaneneves.cdn.magazord.com.br/img/2025/09/produto/11692/05-sapatenis-klin-1661-700-flyer-velcro-baby.png?ims=290x290","true","false"
"Sapatênis Mocassim Klin 197.128 Curumim","Klin","2383883-3255CHOCOLATECAFE","Baby Menino","Mocassim","Unissex Baby","Baby","Tênis","118.99","113.04","20 | 21 | 22 | 23 | 24 | 25 | 26 | 27","3170 MARINHO/VERMELHO | 3255 CHOCOLATE/CAFE","Conforto O sapatênis infantil da Klin possui cabedal em material sintético macio e forro interno que abraça suavemente os pés. O interior acolchoado ajuda a evitar incômodos, permitindo que a criança se movimente com liberdade durante todo o dia. Fechamento fácil O modelo conta com fechamento em tira aderente (velcro), facilitando o calce no dia a dia e promovendo um ajuste seguro. Ideal para rotinas dinâmicas, ele traz autonomia para os pequenos e praticidade para os adultos. Solado seguro C...","https://www.chinelarialeilaneneves.com.br/sapatenis-klin-197-128-curumim-3255-chocolate-cafe","https://chinelarialeilaneneves.cdn.magazord.com.br/img/2025/05/produto/8384/01-sapatenis-mocassim-klin-197-128-curumim.png?ims=290x290","true","false"
"Sapatênis Mocassim Klin 197.128 Curumim","Klin","2383883-3170MARINHOVERMELHO","Baby Menino","Mocassim","Unissex Baby","Baby","Tênis","118.99","113.04","20 | 21 | 22 | 23 | 24 | 25 | 26 | 27","3170 MARINHO/VERMELHO | 3255 CHOCOLATE/CAFE","Conforto O sapatênis infantil da Klin possui cabedal em material sintético macio e forro interno que abraça suavemente os pés. O interior acolchoado ajuda a evitar incômodos, permitindo que a criança se movimente com liberdade durante todo o dia. Fechamento fácil O modelo conta com fechamento em tira aderente (velcro), facilitando o calce no dia a dia e promovendo um ajuste seguro. Ideal para rotinas dinâmicas, ele traz autonomia para os pequenos e praticidade para os adultos. Solado seguro C...","https://www.chinelarialeilaneneves.com.br/sapatenis-klin-197-128-curumim-3170-marinho-vermelho","https://chinelarialeilaneneves.cdn.magazord.com.br/img/2025/05/produto/8386/03-sapatenis-mocassim-klin-197-128-curumim.png?ims=290x290","true","false"
"Sapatênis Molekinho 2623-102 Rust Neo Velcro","Molekinho","2384392-36783BRANCOOFFMARINHO","Baby Menino","Tênis","Unissex Baby","Baby","Tênis","119.99","113.99","17 | 18 | 19 | 20 | 21 | 22 | 23 | 24 | 25 | 26","36783 BRANCO/OFF/MARINHO | 61877 PRETO/CAMEL","Praticidade O modelo conta com duas tiras largas em velcro, que substituem o cadarço e tornam o calce rápido e ajustável. Ideal para crianças que ainda não amarram sozinhas, oferecendo autonomia com segurança. Conforto Internamente acolchoado, o sapatênis proporciona boa sensação ao toque, sem apertar. O solado firme com leve bicolor garante estabilidade e contribui para o conforto mesmo em uso prolongado. Moderno Com acabamento perfurado no cabedal e etiqueta no peito do pé, o modelo tem vis...","https://www.chinelarialeilaneneves.com.br/sapatenis-molekinho-2623-102-rust-neo-36783-branco-off-marinho","https://chinelarialeilaneneves.cdn.magazord.com.br/img/2025/09/produto/11672/07-sapatenis-molekinho-2623-102-rust-neo-velcro.png?ims=290x290","true","false"
"Sapatênis Molekinho 2623-102 Rust Neo Velcro","Molekinho","2384392-61877PRETOCAMEL","Baby Menino","Tênis","Unissex Baby","Baby","Tênis","119.90","113.91","17 | 18 | 19 | 20 | 21 | 22 | 23 | 24 | 25 | 26","36783 BRANCO/OFF/MARINHO | 61877 PRETO/CAMEL","Praticidade O modelo conta com duas tiras largas em velcro, que substituem o cadarço e tornam o calce rápido e ajustável. Ideal para crianças que ainda não amarram sozinhas, oferecendo autonomia com segurança. Conforto Internamente acolchoado, o sapatênis proporciona boa sensação ao toque, sem apertar. O solado firme com leve bicolor garante estabilidade e contribui para o conforto mesmo em uso prolongado. Moderno Com acabamento perfurado no cabedal e etiqueta no peito do pé, o modelo tem vis...","https://www.chinelarialeilaneneves.com.br/sapatenis-molekinho-2623-102-rust-neo-61877-preto-camel","https://chinelarialeilaneneves.cdn.magazord.com.br/img/2025/09/produto/11667/05-sapatenis-molekinho-2623-102-rust-neo-velcro.png?ims=290x290","true","false"
"Sapatênis Molekinho 2623-105 Flot Rust Elástico","Molekinho","2384395-88285OFFBRANCO","Baby Menino","Tênis","Unissex Baby","Baby","Tênis","109.90","104.41","17 | 18 | 19 | 20 | 21 | 22 | 23 | 24 | 25 | 26","88285 OFF/BRANCO","Calce fácil O modelo não possui cadarço nem velcro: o ajuste é feito por um elástico discreto no peito do pé, facilitando o momento de calçar e garantindo firmeza na medida certa, ideal para o dia a dia dos pequenos. Design moderno Inspirado nos modelos casuais com toque social, esse sapatênis une estrutura simples e detalhes sutis, como a etiqueta frontal com a logo Molekinho. Combina com diversas propostas de uso sem pesar no visual infantil. Leveza e conforto O solado é macio e flexível, c...","https://www.chinelarialeilaneneves.com.br/sapatenis-molekinho-2623-105-flot-rust-88285-off-branco","https://chinelarialeilaneneves.cdn.magazord.com.br/img/2025/05/produto/8656/01-sapatenis-molekinho-2623-105-flot-rust-elastico.png?ims=290x290","true","false"
"Sapatênis Molekinho 2623-109 Napa Neo Casual","Molekinho","2384397-75948CARAMELOBRANCO","Baby Menino","Sapatenis","Unissex Baby","Baby","Tênis","109.90","104.41","17 | 18 | 19 | 20 | 21 | 22 | 23 | 24 | 25 | 26","75948 CARAMELO/BRANCO","Estilo Moderno Com design limpo e tonalidades neutras, esse sapatênis combina facilmente com diferentes peças do guarda-roupa infantil. O cabedal em napa bege traz acabamento fosco e uniforme, enquanto o detalhe perfurado marrom adiciona um toque de contraste sem tirar a sobriedade do modelo. Conforto e praticidade A parte interna é acolchoada, oferecendo boa sensação ao calçar. O cadarço fixo simula o amarrado tradicional, facilitando o uso, principalmente em dias corridos. O sapatênis se aj...","https://www.chinelarialeilaneneves.com.br/sapatenis-molekinho-2623-109-napa-neo-75948-caramelo-branco","https://chinelarialeilaneneves.cdn.magazord.com.br/img/2025/09/produto/11674/05-sapatenis-molekinho-2623-109-napa-neo-casual.png?ims=290x290","true","false"
"Sapatênis Molekinho 2631.202 Denver Neo Calce Fácil","Molekinho","2384398-01PRETOBEGE","Baby Menino","Sapatenis","Unissex Baby","Baby","Tênis","99.90","94.91","17 | 18 | 19 | 20 | 21 | 22 | 23 | 24 | 25 | 26","01 PRETO/BEGE | 526 BRANCO OFF","Design Inteligente O modelo aposta em um visual limpo e costuras aparentes que destacam a construção do cabedal. Ideal para rotinas movimentadas, ele oferece um estilo discreto que se encaixa bem em diferentes contextos.. Praticidade no calçar O sistema calce fácil com elástico fixo substitui o cadarço tradicional, permitindo que a criança calce o sapatênis sozinha com mais autonomia. A estrutura mantém o ajuste firme e funcional durante o uso. Estabilidade e conforto A sola emborrachada cont...","https://www.chinelarialeilaneneves.com.br/sapatenis-molekinho-2631-202-denver-neo-01-preto-bege","https://chinelarialeilaneneves.cdn.magazord.com.br/img/2025/09/produto/11678/06-sapatenis-molekinho-2631-202-denver-neo-calce-facil.png?ims=290x290","true","false"
"Sapatênis Molekinho 2631.202 Denver Neo Calce Fácil","Molekinho","2384398-526BRANCOOFF","Baby Menino","Sapatenis","Unissex Baby","Baby","Tênis","99.90","94.91","17 | 18 | 19 | 20 | 21 | 22 | 23 | 24 | 25 | 26","01 PRETO/BEGE | 526 BRANCO OFF","Design Inteligente O modelo aposta em um visual limpo e costuras aparentes que destacam a construção do cabedal. Ideal para rotinas movimentadas, ele oferece um estilo discreto que se encaixa bem em diferentes contextos.. Praticidade no calçar O sistema calce fácil com elástico fixo substitui o cadarço tradicional, permitindo que a criança calce o sapatênis sozinha com mais autonomia. A estrutura mantém o ajuste firme e funcional durante o uso. Estabilidade e conforto A sola emborrachada cont...","https://www.chinelarialeilaneneves.com.br/sapatenis-molekinho-2631-202-denver-neo-526-branco-off","https://chinelarialeilaneneves.cdn.magazord.com.br/img/2025/09/produto/11679/07-sapatenis-molekinho-2631-202-denver-neo-calce-facil.png?ims=290x290","true","false"
